lng,lat,maydoni,narxi
69.2601933,41.2911414,76.602,71358.4857142857
69.26049,41.3747222,83.0,63000.0
69.2605146,41.2714311,78.0,85000.0
69.260746,41.3050864,69.83333333333333,74750.0
69.2611035,41.2911155,52.0,56000.0
69.2611824,41.327974,70.8,58940.0
69.2612589,41.2877746,82.66666666666667,81166.66666666667
69.2613523,41.2169022,58.5,29000.0
69.2616233,41.2789896,88.625,112462.5
69.2616787,41.3221852,70.125,64562.5
69.2618569,41.2926797,70.0,68000.0
69.2623015,41.3394051,82.0,80000.0
69.262388,41.296195,65.0,59166.666666666664
69.2624237,41.218274,70.41538461538461,31605.0
69.2624708,41.291835,75.0,68000.0
69.2626649,41.2929471,48.5,51000.0
69.2628549,41.2709232,82.0,56000.0
69.2628833,41.3377896,26.0,18500.0
69.2631768,41.2854202,91.27272727272727,101227.27272727272
69.2636285,41.3011918,92.0,93000.0
69.2637523,41.3464064,125.0,110000.0
69.2637958,41.3348171,65.0,45500.0
69.2638823,41.3051824,64.53846153846153,66679.48717948717
69.2639594,41.3068019,42.0,43000.0
69.2646587,41.3683947,64.875,41452.958333333336
69.264801,41.329792,100.0,85000.0
69.2648035,41.297791,82.0,75000.0
69.2650786,41.2444497,59.25,26756.5
69.2654037,41.3391066,91.0,55000.0
69.2660649,41.3701094,61.5,41500.0
69.2660932,41.3180593,78.0,98000.0
69.266136,41.30566,100.0,85000.0
69.266246,41.2845992,82.33333333333333,73983.33333333333
69.2665263,41.2834892,95.13115384615384,87163.34615384616
69.2672056,41.2829754,91.5,90000.0
69.2672197,41.3091112,62.5,60000.0
69.2674405,41.295209,66.0,61250.0
69.2675864,41.3093806,93.5,100000.0
69.2677819,41.3205336,80.0,105000.0
69.267908,41.296393,95.0,79000.0
69.2680561,41.3035042,105.45454545454545,107809.09090909091
69.268476,41.2968147,92.85714285714286,126285.71428571429
69.2687,41.3021647,74.0,69000.0
69.2689007,41.3314152,61.25,48875.0
69.2691287,41.3716355,59.144,37764.45714285714
69.2691667,41.3086111,85.86363636363636,102590.90909090909
69.2691785,41.2787427,90.5,99750.0
69.2695316,41.3137227,60.0,55000.0
69.269586,41.340598,190.0,72000.0
69.2696127,41.2879302,42.0,60000.0
69.2696327,41.3105263,86.25,76375.0
69.2697337,41.3209185,61.0,40750.0
69.2701272,41.3112269,76.30434782608695,45291.30434782609
